ADJUVANT	YEAR	COMTRS	POUNDS_PRODUCT_APPLIED	POUNDS_CHEMICAL_APPLIED
YES	2020	34M03N03E05	5.7144	N/A
YES	2020	34M03N03E05	2.6357	N/A
NO	2020	34M03N03E05	55.6586	24.211491
NO	2020	34M03N03E05	4.8514	1.1061192
NO	2020	34M03N03E05	21.6347	1.081735
NO	2020	34M03N03E05	68.2206	26.4013722
YES	2020	34M03N03E05	24.9233	N/A
YES	2020	34M03N03E05	9.0189	N/A
YES	2020	34M03N03E05	4.2652	N/A
NO	2020	34M03N03E05	138.7676	67.5798212
NO	2020	34M03N03E05	6.0435	1.7973369
YES	2020	34M03N03E05	46.0981	N/A
NO	2020	34M03N03E05	5.7557	1.71174518
YES	2020	34M03N03E05	4.2652	N/A
YES	2020	34M03N03E05	5.2479	N/A
YES	2020	34M03N03E05	30.5328	N/A
NO	2020	34M03N03E05	52.675	25.652725
NO	2020	34M03N03E05	179.801	69.582987
NO	2020	34M03N03E05	115.7718	56.3808666
NO	2020	34M03N03E05	6.607	2.874045
NO	2020	34M03N03E05	6.6788	1.5227664
YES	2020	34M03N03E05	1.5053	N/A
YES	2020	34M03N03E05	2.9971	N/A
NO	2020	34M03N03E05	4.8338	1.1021064
YES	2020	34M03N03E05	1.9494	N/A
NO	2020	34M03N03E05	56.6398	27.5835826
YES	2020	34M03N03E05	57.1904	N/A
YES	2020	34M03N03E05	4.256	N/A
YES	2020	34M03N03E05	5.982	N/A
NO	2020	34M03N03E05	10.0899	1.1502486
NO	2020	34M03N03E05	200.1595	77.4617265
YES	2020	34M03N03E05	1.0894	N/A
YES	2020	34M03N03E05	10.3189	N/A
NO	2020	34M03N03E05	19.8239	9.6542393
YES	2020	34M03N03E05	4.6648	N/A
YES	2020	34M03N03E05	11.227	N/A
NO	2020	34M03N03E05	37.8901	9.472525
YES	2020	34M03N03E05	10.2731	N/A
NO	2020	34M03N03E05	91.6696	22.9174
YES	2020	34M03N03E05	5.0813	N/A
YES	2020	34M03N03E05	10.3464	N/A
YES	2020	34M03N03E05	4.4163	N/A
NO	2020	34M03N03E05	60.0448	47.735616
NO	2020	34M03N03E05	10.8539	8.6288505
NO	2020	34M03N03E05	31.1675	24.7781625
NO	2020	34M03N03E05	5.2189	.5949546
YES	2020	34M03N03E05	5.2246	N/A
NO	2020	34M03N03E05	34.2571	13.2574977
YES	2020	34M03N03E05	10.6865	N/A
NO	2020	34M03N03E05	27.7676	4.39838784
YES	2020	34M03N03E05	21.738	N/A
YES	2020	34M03N03E05	29.948	N/A
YES	2020	34M03N03E05	5.8703	N/A
NO	2020	34M03N03E05	15.8559	2.51157456
YES	2020	34M03N03E05	.7558	N/A
YES	2020	34M03N03E05	4.256	N/A
YES	2020	34M03N03E05	2.1458	N/A
NO	2020	34M03N03E05	3.4654	1.507449
NO	2020	34M03N03E05	72.7255	35.4173185
NO	2020	34M03N03E05	94.256	36.477072
YES	2020	34M03N03E05	58.9283	N/A
NO	2020	34M03N03E05	8.2498	2.45349052
YES	2020	34M03N03E05	276.4227	N/A
YES	2020	34M03N03E05	2.9855	N/A
NO	2020	34M03N03E05	12.8215	2.923302
NO	2020	34M03N03E05	6.7573	1.5406644
YES	2020	34M03N03E05	18.0379	N/A
YES	2020	34M03N03E05	4.2652	N/A
YES	2020	34M03N03E05	47.5192	N/A
NO	2020	34M03N03E05	138.7676	67.5798212
NO	2020	34M03N03E05	72.7255	35.4173185
YES	2020	34M03N03E06	128.543	N/A
NO	2020	34M03N03E06	13.2172	.66086
NO	2020	34M03N03E06	92.9836	35.9846532
NO	2020	34M03N03E06	53.8078	26.2043986
NO	2020	34M03N03E06	166.3918	64.3936266
YES	2020	34M03N03E06	51.9057	N/A
NO	2020	34M03N03E06	56.6398	27.5835826
YES	2020	34M03N03E06	2.0516	N/A
YES	2020	34M03N03E06	23.6932	N/A
YES	2020	34M03N03E06	28.1544	N/A
YES	2020	34M03N03E06	5.3235	N/A
NO	2020	34M03N03E06	96.2877	46.8921099
YES	2020	34M03N03E06	22.5235	N/A
NO	2020	34M03N03E06	60.6423	48.2106285
YES	2020	34M03N03E06	4.2111	N/A
NO	2020	34M03N03E06	10.4378	1.1899092
NO	2020	34M03N03E06	31.1675	24.7781625
NO	2020	34M03N03E06	52.8753	42.0358635
NO	2020	34M03N03E06	190.8611	73.8632457
NO	2020	34M03N03E06	412.0643	159.4688841
YES	2020	34M03N03E06	94.8239	N/A
YES	2020	34M03N03E06	38.166	N/A
YES	2020	34M03N03E06	21.3973	N/A
NO	2020	34M03N03E06	5.2189	.5949546
NO	2020	34M03N03E06	22.0064	2.5087296
NO	2020	34M03N03E06	21.2048	1.06024
NO	2020	34M03N03E06	10.5666	.52833
NO	2020	34M03N03E06	8.8721	1.0114194
NO	2020	34M03N03E06	10.1769	1.1601666
NO	2020	34M03N03E06	44.5588	2.22794
NO	2020	34M03N03E06	10.0651	.503255
NO	2020	34M03N03E06	113.5062	55.2775194
NO	2020	34M03N03E06	17.9811	.899055
YES	2020	34M03N03E06	10.9468	N/A
NO	2020	34M03N03E06	196.2444	75.9465828
YES	2020	34M03N03E06	11.2467	N/A
NO	2020	34M03N03E06	122.3469	47.3482503
YES	2020	34M03N03E06	43.9208	N/A
YES	2020	34M03N03E06	7.048	N/A
YES	2020	34M03N03E06	30.5328	N/A
YES	2020	34M03N03E06	2.1596	N/A
NO	2020	34M03N03E06	5.9476	1.76881624
YES	2020	34M03N03E06	45.1971	N/A
YES	2020	34M03N03E06	38.2899	N/A
NO	2020	34M03N03E06	97.8775	37.8785925
NO	2020	34M03N03E06	110.4477	53.7880299
NO	2020	34M03N03E06	238.4537	116.1269519
YES	2020	34M03N03E06	9.5222	N/A
YES	2020	34M03N03E06	5.6234	N/A
NO	2020	34M03N03E06	6.5236	.7436904
NO	2020	34M03N03E06	29.5743	23.5115685
YES	2020	34M03N03E06	3.6712	N/A
NO	2020	34M03N03E06	20.6317	1.031585
YES	2020	34M03N03E06	59.5389	N/A
YES	2020	34M03N03E06	29.0061	N/A
YES	2020	34M03N03E06	4.3299	N/A
NO	2020	34M03N03E06	38.9345	30.9529275
YES	2020	34M03N03E06	2.6994	N/A
NO	2020	34M03N03E06	131.0431	104.1792645
YES	2020	34M03N03E06	61.2691	N/A
NO	2020	34M03N03E06	62.4347	49.6355865
NO	2020	34M03N03E06	4.958	.565212
YES	2020	34M03N03E06	9.0917	N/A
NO	2020	34M03N03E06	70.7998	34.4795026
YES	2020	34M03N03E08	4.4027	N/A
NO	2020	34M03N03E08	11.7539	1.86181776
YES	2020	34M03N03E08	1.9992	N/A
NO	2020	34M03N03E08	38.8679	9.716975
NO	2020	34M03N03E08	38.8679	9.716975
NO	2020	34M03N03E08	70.0803	27.1210761
NO	2020	34M03N03E08	54.0344	26.3147528
NO	2020	34M03N03E08	54.0344	26.3147528
YES	2020	34M03N03E08	9.2614	N/A
YES	2020	34M03N03E08	4.3798	N/A
YES	2020	34M03N03E08	4.3798	N/A
YES	2020	34M03N03E08	22.2977	N/A
NO	2020	34M03N03E08	70.0803	27.1210761
YES	2020	34M03N03E08	18.5228	N/A
YES	2020	34M03N03E10	1.5117	N/A
NO	2020	34M03N03E10	68.5143	26.5150341
NO	2020	34M03N03E10	39.6479	19.3085273
NO	2020	34M03N03E10	21.8073	17.3368035
YES	2020	34M03N03E10	3.9739	N/A
NO	2020	34M03N03E10	3.6532	.4164648
YES	2020	34M03N03E10	21.3729	N/A
YES	2020	34M03N03E10	15.7664	N/A
NO	2020	34M03N03E11	381	7.62
YES	2020	34M03N03E11	6.7523	N/A
NO	2020	34M03N03E11	5.2035	2.2635225
NO	2020	34M03N03E11	386	7.72
YES	2020	34M03N03E11	14.3744	N/A
NO	2020	34M03N03E11	10.4764	1.7914644
YES	2020	34M03N03E11	.5148	N/A
NO	2020	34M03N03E11	88.423	26.615323
NO	2020	34M03N03E11	94.4518	36.5528466
NO	2020	34M03N03E11	78.6321	19.658025
NO	2020	34M03N03E11	87.2318	26.2567718
NO	2020	34M03N03E11	5.2565	1.198482
NO	2020	34M03N03E11	93.1794	36.0604278
NO	2020	34M03N03E11	77.5728	19.3932
YES	2020	34M03N03E11	8.8055	N/A
NO	2020	34M03N03E11	10.3033	1.7618643
YES	2020	34M03N03E11	.5148	N/A
YES	2020	34M03N03E11	14.1509	N/A
YES	2020	34M03N03E11	6.6648	N/A
YES	2020	34M03N03E11	8.7321	N/A
NO	2020	34M03N03E11	5.3255	1.214214
NO	2020	34M03N03E11	5.1387	2.2353345
YES	2020	34M03N03E12	3.1914	N/A
YES	2020	34M03N03E12	3.3237	N/A
YES	2020	34M03N03E12	.3432	N/A
NO	2020	34M03N03E12	3.117	.533007
NO	2020	34M03N03E12	30.8793	9.2946693
NO	2020	34M03N03E12	28.0908	10.8711396
NO	2020	34M03N03E12	44.8162	11.20405
NO	2020	34M03N03E12	61.8503	18.6169403
NO	2020	34M03N03E12	3.6381	1.5825735
YES	2020	34M03N03E12	.1716	N/A
YES	2020	34M03N03E12	.1716	N/A
NO	2020	34M03N03E12	135	2.7
YES	2020	34M03N03E12	2.6371	N/A
YES	2020	34M03N03E12	6.1914	N/A
NO	2020	34M03N03E12	49.4802	14.8935402
NO	2020	34M03N03E12	52.8539	20.4544593
YES	2020	34M03N03E12	4.9531	N/A
NO	2020	34M03N03E12	79.2958	38.6170546
YES	2020	34M03N03E12	6.4667	N/A
YES	2020	34M03N03E12	3.7858	N/A
YES	2020	34M03N03E12	3.3237	N/A
YES	2020	34M03N03E12	4.2825	N/A
NO	2020	34M03N03E12	23.3859	5.846475
NO	2020	34M03N03E12	53.8326	20.8332162
NO	2020	34M03N03E12	66.0673	25.5680451
YES	2020	34M03N03E12	10.0546	N/A
YES	2020	34M03N03E12	6.9739	N/A
NO	2020	34M03N03E12	42.4799	20.6877113
NO	2020	34M03N03E12	1.5867	.3617676
NO	2020	34M03N03E12	119.9632	58.4220784
NO	2020	34M03N03E12	1.8137	.7889595
YES	2020	34M03N03E12	2.0117	N/A
YES	2020	34M03N03E12	11.5057	N/A
NO	2020	34M03N03E12	212.6259	103.5488133
YES	2020	34M03N03E12	6.4667	N/A
NO	2020	34M03N03E12	7.2729	1.2436659
YES	2020	34M03N03E12	11.5057	N/A
YES	2020	34M03N03E12	13.6489	N/A
YES	2020	34M03N03E12	11.9827	N/A
NO	2020	34M03N03E12	3.0353	.6920484
NO	2020	34M03N03E12	1.5438	.671553
YES	2020	34M03N03E12	7.472	N/A
YES	2020	34M03N03E12	11.9827	N/A
YES	2020	34M03N03E12	13.9478	N/A
NO	2020	34M03N03E12	115	2.3
YES	2020	34M03N03E12	3.0957	N/A
YES	2020	34M03N03E12	8.1926	N/A
NO	2020	34M03N03E12	109.0883	53.1260021
YES	2020	34M03N03E12	15.3425	N/A
NO	2020	34M03N03E12	5.9742	1.0215882
NO	2020	34M03N03E12	5.8876	1.0067796
NO	2020	34M03N03E12	32.9847	12.7650789
NO	2020	34M03N03E12	26.2978	7.9156378
NO	2020	34M03N03E12	44.0014	11.00035
YES	2020	34M03N03E12	5.8788	N/A
YES	2020	34M03N03E12	7.6713	N/A
NO	2020	34M03N03E12	216	4.32
YES	2020	34M03N03E12	5.0273	N/A
NO	2020	34M03N03E12	50.3965	15.1693465
YES	2020	34M03N03E12	5.0448	N/A
NO	2020	34M03N03E12	55.0017	13.750425
YES	2020	34M03N03E12	6.1226	N/A
YES	2020	34M03N03E12	6.7348	N/A
NO	2020	34M03N03E12	3.7252	.8493456
NO	2020	34M03N03E12	220	4.4
NO	2020	34M03N03E12	27.4601	6.865025
NO	2020	34M03N03E12	154.6267	75.3032029
YES	2020	34M03N03E12	4.7231	N/A
NO	2020	34M03N03E12	2.98	.67944
NO	2020	34M03N03E12	58.4523	28.4662701
YES	2020	34M03N03E12	5.8788	N/A
YES	2020	34M03N03E12	6.7348	N/A
YES	2020	34M03N03E12	8.0437	N/A
YES	2020	34M03N03E12	2.3616	N/A
YES	2020	34M03N03E12	3.8485	N/A
YES	2020	34M03N03E12	3.7785	N/A
NO	2020	34M03N03E12	2.9148	1.267938
YES	2020	34M03N03E12	27.1981	N/A
YES	2020	34M03N03E12	6.1226	N/A
YES	2020	34M03N03E12	.3432	N/A
NO	2020	34M03N03E12	3.6364	.6218244
YES	2020	34M03N03E12	.2574	N/A
NO	2020	34M03N03E12	87.2253	42.4787211
YES	2020	34M03N03E12	3.1914	N/A
NO	2020	34M03N03E12	1.8626	.4246728
NO	2020	34M03N03E12	2.9688	1.291428
NO	2020	34M03N03E15	102.7714	39.7725318
NO	2020	34M03N03E15	260	5.2
YES	2020	34M03N03E15	27.1538	N/A
YES	2020	34M03N03E15	6.4207	N/A
NO	2020	34M03N03E15	55.0017	13.750425
NO	2020	34M03N03E15	52.9646	13.24115
NO	2020	34M03N03E15	76.4638	37.2378706
NO	2020	34M03N03E15	102.7714	39.7725318
NO	2020	34M03N03E15	57.0388	14.2597
YES	2020	34M03N03E15	6.1914	N/A
YES	2020	34M03N03E15	6.8793	N/A
YES	2020	34M03N03E15	11.662	N/A
YES	2020	34M03N03E15	26.184	N/A
NO	2020	34M03N03E15	95.4948	46.5059676
NO	2020	34M03N03E15	52.9646	13.24115
YES	2020	34M03N03E15	33.9423	N/A
NO	2020	34M03N03E15	123.8147	60.2977589
YES	2020	34M03N03E15	3.1487	N/A
YES	2020	34M03N03E15	6.1914	N/A
YES	2020	34M03N03E15	6.4207	N/A
YES	2020	34M03N03E15	1.7571	N/A
YES	2020	34M03N03E15	3.0321	N/A
YES	2020	34M03N03E15	5.962	N/A
YES	2020	34M03N03E15	3.0788	N/A
YES	2020	34M03N03E15	1.5827	N/A
NO	2020	34M03N03E15	7.2771	1.6591788
YES	2020	34M03N03E15	3.2654	N/A
YES	2020	34M03N03E15	13.092	N/A
NO	2020	34M03N03E15	12.9373	2.3804632
NO	2020	34M03N03E15	10.2942	1.8941328
YES	2020	34M03N03E15	34.986	N/A
YES	2020	34M03N03E15	6.384	N/A
NO	2020	34M03N03E15	7.1038	1.6196664
NO	2020	34M03N03E15	9.183	2.093724
NO	2020	34M03N03E15	34.0489	14.8112715
NO	2020	34M03N03E15	30.6894	13.349889
NO	2020	34M03N03E15	10.016	1.842944
YES	2020	34M03N03E15	14.5467	N/A
YES	2020	34M03N03E15	6.4573	N/A
NO	2020	34M03N03E15	108.975	53.070825
YES	2020	34M03N03E15	6.1914	N/A
NO	2020	34M03N03E15	71.2986	17.82465
NO	2020	34M03N03E15	73.6318	35.8586866
NO	2020	34M03N03E15	99.052	38.333124
YES	2020	34M03N03E15	6.8793	N/A
NO	2020	34M03N03E15	71.2986	17.82465
YES	2020	34M03N03E15	12.6071	N/A
YES	2020	34M03N03E15	5.962	N/A
NO	2020	34M03N03E15	52.9646	13.24115
YES	2020	34M03N03E15	2.0825	N/A
NO	2020	34M03N03E15	39.7691	17.2995585
YES	2020	34M03N03E15	4.105	N/A
YES	2020	34M03N03E15	3.1721	N/A
YES	2020	34M03N03E15	6.384	N/A
YES	2020	34M03N03E15	16.9711	N/A
NO	2020	34M03N03E15	101.272	49.319464
NO	2020	34M03N03E15	11.1289	2.0477176
NO	2020	34M03N03E15	108.975	53.070825
YES	2020	34M03N03E15	27.1538	N/A
NO	2020	34M03N03E15	280	5.6
NO	2020	34M03N03E15	270	5.4
NO	2020	34M03N03E15	99.052	38.333124
NO	2020	34M03N03E15	99.1197	48.2712939
NO	2020	34M03N03E15	76.4638	37.2378706
NO	2020	34M03N03E15	110.1122	42.6134214
YES	2020	34M03N03E15	6.8793	N/A
NO	2020	34M03N03E15	99.1197	48.2712939
YES	2020	34M03N03E15	6.4207	N/A
YES	2020	34M03N03E15	27.1538	N/A
YES	2020	34M03N03E15	6.4207	N/A
NO	2020	34M03N03E15	7.0172	1.5999216
NO	2020	34M03N03E15	7.7969	1.7776932
NO	2020	34M03N03E15	6.7573	1.5406644
YES	2020	34M03N03E15	3.1487	N/A
NO	2020	34M03N03E15	3.6381	1.5825735
YES	2020	34M03N03E15	1.5827	N/A
NO	2020	34M03N03E15	29.509	12.836415
YES	2020	34M03N03E15	6.8976	N/A
NO	2020	34M03N03E15	31.779	13.823865
YES	2020	34M03N03E15	6.8976	N/A
NO	2020	34M03N03E15	105.1235	51.1951445
YES	2020	34M03N03E15	13.5769	N/A
NO	2020	34M03N03E15	300	6
NO	2020	34M03N03E15	79.2958	38.6170546
NO	2020	34M03N03E15	128.4153	49.6967211
YES	2020	34M03N03E15	33.9423	N/A
NO	2020	34M03N03E15	61.113	15.27825
NO	2020	34M03N03E15	99.052	38.333124
NO	2020	34M03N03E15	102.7714	39.7725318
YES	2020	34M03N03E15	26.184	N/A
NO	2020	34M03N03E15	106.1431	51.6916897
NO	2020	34M03N03E15	102.7714	39.7725318
NO	2020	34M03N03E15	99.1197	48.2712939
YES	2020	34M03N03E15	6.1914	N/A
YES	2020	34M03N03E15	8.0258	N/A
YES	2020	34M03N03E15	1.64	N/A
YES	2020	34M03N03E15	1.5228	N/A
NO	2020	34M03N03E15	9.0964	2.0739792
YES	2020	34M03N03E15	8.0258	N/A
YES	2020	34M03N03E15	40.8636	N/A
YES	2020	34M03N03E15	32.6536	N/A
YES	2020	34M03N03E15	6.4207	N/A
NO	2020	34M03N03E15	57.0388	14.2597
NO	2020	34M03N03E15	350	7
NO	2020	34M03N03E15	270	5.4
NO	2020	34M03N03E15	57.0388	14.2597
NO	2020	34M03N03E15	99.052	38.333124
YES	2020	34M03N03E15	26.184	N/A
YES	2020	34M03N03E15	6.1914	N/A
NO	2020	34M03N03E15	55.0017	13.750425
YES	2020	34M03N03E15	13.092	N/A
NO	2020	34M03N03E15	102.7714	39.7725318
YES	2020	34M03N03E15	6.4207	N/A
NO	2020	34M03N03E15	79.2958	38.6170546
NO	2020	34M03N03E15	73.6318	35.8586866
YES	2020	34M03N03E15	27.1538	N/A
NO	2020	34M03N03E15	99.052	38.333124
NO	2020	34M03N03E15	95.4306	36.9316422
NO	2020	34M03N03E15	71.2986	17.82465
NO	2020	34M03N03E15	7.2771	1.6591788
YES	2020	34M03N03E15	1.5814	N/A
NO	2020	34M03N03E15	3.6381	1.5825735
YES	2020	34M03N03E15	6.8793	N/A
NO	2020	34M03N03E15	4.0484	1.761054
NO	2020	34M03N03E15	3.5086	1.526241
YES	2020	34M03N03E15	4.0817	N/A
YES	2020	34M03N03E15	6.1914	N/A
YES	2020	34M03N03E15	30.3212	N/A
YES	2020	34M03N03E15	2.8322	N/A
NO	2020	34M03N03E15	16.6448	2.63653632
YES	2020	34M03N03E15	2.9155	N/A
YES	2020	34M03N03E15	6.384	N/A
YES	2020	34M03N03E15	13.5769	N/A
YES	2020	34M03N03E15	6.4207	N/A
NO	2020	34M03N03E15	99.1197	48.2712939
NO	2020	34M03N03E15	55.0017	13.750425
YES	2020	34M03N03E15	12.495	N/A
NO	2020	34M03N03E15	55.0017	13.750425
YES	2020	34M03N03E15	5.962	N/A
NO	2020	34M03N03E15	3.7785	1.6436475
YES	2020	34M03N03E15	3.2654	N/A
NO	2020	34M03N03E15	7.0172	1.5999216
YES	2020	34M03N03E15	2.8322	N/A
YES	2020	34M03N03E15	6.1638	N/A
YES	2020	34M03N03E15	7.9983	N/A
YES	2020	34M03N03E15	6.8976	N/A
NO	2020	34M03N03E15	17.2758	2.73648672
YES	2020	34M03N03E15	3.1721	N/A
YES	2020	34M03N03E15	7.9983	N/A
NO	2020	34M03N03E15	7.7969	1.7776932
YES	2020	34M03N03E15	6.1638	N/A
YES	2020	34M03N03E15	2.05	N/A
NO	2020	34M03N03E15	4.7177	2.0521995
NO	2020	34M03N03E15	18.4591	2.92392144
YES	2020	34M03N03E15	2.9155	N/A
YES	2020	34M03N03E15	32.6536	N/A
NO	2020	34M03N03E15	30.6894	13.349889
NO	2020	34M03N03E15	6.7573	1.5406644
YES	2020	34M03N03E15	5.9437	N/A
YES	2020	34M03N03E15	1.7493	N/A
NO	2020	34M03N03E15	7.1038	1.6196664
YES	2020	34M03N03E15	3.2654	N/A
NO	2020	34M03N03E15	105.1235	51.1951445
NO	2020	34M03N03E15	136.2754	66.3661198
NO	2020	34M03N03E15	116.7913	56.8773631
YES	2020	34M03N03E15	13.092	N/A
YES	2020	34M03N03E15	13.5769	N/A
NO	2020	34M03N03E15	280	5.6
YES	2020	34M03N03E15	26.184	N/A
NO	2020	34M03N03E15	76.4638	37.2378706
NO	2020	34M03N03E15	95.4306	36.9316422
YES	2020	34M03N03E15	13.092	N/A
YES	2020	34M03N03E15	6.1914	N/A
YES	2020	34M03N03E15	6.1638	N/A
YES	2020	34M03N03E15	1.666	N/A
NO	2020	34M03N03E15	31.779	13.823865
NO	2020	34M03N03E15	9.5987	1.7661608
YES	2020	34M03N03E15	5.9437	N/A
NO	2020	34M03N03E15	10.016	1.842944
YES	2020	34M03N03E15	6.1638	N/A
YES	2020	34M03N03E15	6.4573	N/A
YES	2020	34M03N03E15	29.0934	N/A
NO	2020	34M03N03E15	84.9598	41.3754226
NO	2020	34M03N03E15	55.0017	13.750425
NO	2020	34M03N03E15	55.0017	13.750425
NO	2020	34M03N03E15	84.9598	41.3754226
NO	2020	34M03N03E15	61.113	15.27825
NO	2020	34M03N03E15	128.4153	49.6967211
YES	2020	34M03N03E15	16.9711	N/A
NO	2020	34M03N03E15	57.0388	14.2597
YES	2020	34M03N03E15	13.5769	N/A
NO	2020	34M03N03E15	57.0388	14.2597
NO	2020	34M03N03E15	95.4306	36.9316422
YES	2020	34M03N03E15	11.662	N/A
NO	2020	34M03N03E15	95.4948	46.5059676
NO	2020	34M03N03E15	110.1122	42.6134214
YES	2020	34M03N03E15	29.0934	N/A
YES	2020	34M03N03E15	11.2455	N/A
NO	2020	34M03N03E15	91.9831	44.7957697
YES	2020	34M03N03E15	7.9983	N/A
YES	2020	34M03N03E15	12.6071	N/A
NO	2020	34M03N03E15	10.2942	1.8941328
NO	2020	34M03N03E15	79.2958	38.6170546
NO	2020	34M03N03E15	102.7714	39.7725318
YES	2020	34M03N03E15	7.9983	N/A
YES	2020	34M03N03E15	25.2142	N/A
YES	2020	34M03N03E15	5.962	N/A
YES	2020	34M03N03E15	6.1914	N/A
NO	2020	34M03N03E15	76.4638	37.2378706
NO	2020	34M03N03E15	110.1122	42.6134214
YES	2020	34M03N03E15	14.5467	N/A
YES	2020	34M03N03E15	7.9983	N/A
NO	2020	34M03N03E15	79.2958	38.6170546
YES	2020	34M03N03E15	11.2455	N/A
NO	2020	34M03N03E15	61.113	15.27825
YES	2020	34M03N03E15	10.829	N/A
YES	2020	34M03N03E15	1.64	N/A
YES	2020	34M03N03E15	6.4207	N/A
NO	2020	34M03N03E15	3.7785	1.6436475
YES	2020	34M03N03E15	1.5814	N/A
NO	2020	34M03N03E15	16.6448	2.63653632
YES	2020	34M03N03E15	3.6652	N/A
NO	2020	34M03N03E15	21.5356	3.41123904
YES	2020	34M03N03E15	6.1638	N/A
NO	2020	34M03N03E15	99.052	38.333124
NO	2020	34M03N03E15	57.0388	14.2597
YES	2020	34M03N03E15	25.2142	N/A
NO	2020	34M03N03E15	128.4153	49.6967211
YES	2020	34M03N03E15	14.5775	N/A
YES	2020	34M03N03E15	3.2654	N/A
NO	2020	34M03N03E15	7.2771	1.6591788
YES	2020	34M03N03E15	3.4986	N/A
YES	2020	34M03N03E15	31.534	N/A
YES	2020	34M03N03E15	2.7489	N/A
YES	2020	34M03N03E15	5.9437	N/A
NO	2020	34M03N03E15	16.0137	2.53657008
